SampleID;SampleNMR;Date_YMD;Probe;Shims;RG;Type;Folder;Origen;Zona ;Color;R;G;B;Extracto;Resinas %;;
M23;PRO023B_PRO;180915;1;;90,5;;12;Boyacá;bh-MB;yellow;162;133;54;3,66;ND;;
M24;PRO024A_PRO;180915;1;;90,5;;12;Tolima;bh-T;light_yellow;108;102;68;2,73;8;;
M24;PRO024B_PRO;180915;1;;90,5;;12;Tolima;bh-T;light_yellow;108;102;68;2,73;8;;
M25;PRO025B_PRO;180917;1;;90,5;;12;Tolima;bh-T;light_yellow;108;102;68;3,58;0;;
M26;PRO026A_C;181104;1;;90,5;;12;Tolima;bh-T;light_yellow;108;102;68;2,88;7;;
M26;PRO026A_PRO;190207;2;;50,8;C;12;Tolima;bh-T;light_yellow;108;102;68;2,88;7;;
M26;PRO026B_PRO;181104;1;;90,5;;12;Tolima;bh-T;light_yellow;108;102;68;2,88;7;;
M27;PRO027A_PRO;181105;1;;90,5;;12;Tolima;bh-T;light_yellow;108;102;68;1,97;13;;
M27;PRO027B_PRO;181105;1;;90,5;;12;Tolima;bh-T;light_yellow;108;102;68;1,97;13;;
M28;PRO028A_PRO;181105;1;;90,5;;12;Tolima;bh-T;light_yellow;108;102;68;2,5;ND;;
M28;PRO028B_PRO;181105;1;;90,5;;12;Tolima;bh-T;light_yellow;108;102;68;2,5;ND;;
M29;PRO029A_PRO;180921;1;;90,5;;12;Brasil;BRA;red;115;2;0;4,74;60;;
M29;PRO029B_PRO;180921;1;;90,5;;12;Brasil;BRA;red;115;2;0;4,74;60;;
M30;PRO030A_PRO;181126;1;;90,5;;12;Quindio;bh-PM;light_yellow;108;102;68;3,34;21;;
M30;PRO030B_PRO;181125;1;;90,5;;12;Quindio;bh-PM;light_yellow;108;102;68;3,34;21;;
M31;PRO031A_PRO;181126;1;;90,5;;12;Quindio;bh-PM;light_yellow;108;102;68;3,15;6;;
M31;PRO031B_PRO;181126;1;;90,5;;12;Quindio;bh-PM;light_yellow;108;102;68;3,15;6;;
M32;PRO032A_PRO;181126;1;;90,5;;12;Tolima;bh-PM;light_yellow;108;102;68;0,36;2;;
M32;PRO032B_PRO;181126;1;;90,5;;12;Tolima;bh-PM;light_yellow;108;102;68;0,36;2;;
M33;PRO033A_PRO;181130;1;;90,5;;12;Tolima;bh-PM;light_yellow;108;102;68;0,45;3;;
M33;PRO033B_PRO;181130;1;;90,5;;12;Tolima;bh-PM;light_yellow;108;102;68;0,45;3;;
M34;PRO034A_PRO;180921;1;;90,5;;12;San Andres;bs-T;red;115;2;0;6,86;ND;;
M34;PRO034B_PRO;180921;1;;90,5;;12;San Andres;bs-T;red;115;2;0;6,86;ND;;
M35;PRO035A_PRO;180921;1;;90,5;;12;San Andres;bs-T;red;115;2;0;5,58;51;;
M35;PRO035B_PRO;180921;1;;90,5;;12;San Andres;bs-T;red;115;2;0;5,58;51;;
M36;PRO036A_PRO;180921;1;;90,5;;12;San Andres;bs-T;red;115;2;0;7,23;69;;
M36;PRO036B_C;190207;2;;50,8;C;12;San Andres;bs-T;red;115;2;0;7,23;69;;
M36;PRO036B_PRO;180921;1;;90,5;;12;San Andres;bs-T;red;115;2;0;7,23;69;;
M37;PRO037A_PRO;180921;1;;90,5;;12;San Andres;bs-T;red;115;2;0;7,09;58;;
M37;PRO037B_C;190206;2;;50,8;C;12;San Andres;bs-T;red;115;2;0;7,09;58;;
M37;PRO037B_PRO;180921;1;;90,5;;12;San Andres;bs-T;red;115;2;0;7,09;58;;
M38;PRO038A_PRO;181130;1;;90,5;;12;Tolima;bh-PM;reddish_yellow;246;99;1;1,94;15;;
M38;PRO038B_PRO;181130;1;;90,5;;12;Tolima;bh-PM;reddish_yellow;246;99;1;1,94;15;;
M39;PRO039A_PRO;181125;1;;90,5;;12;Tolima;bh-PM;reddish;124;37;1;1,13;13;;
M39;PRO039B_C;190207;2;;50,8;C;12;Tolima;bh-PM;reddish;124;37;1;1,13;13;;
M39;PRO039B_PRO;181125;1;;90,5;;12;Tolima;bh-PM;reddish;124;37;1;1,13;13;;
M40;PRO040A_PRO;181130;1;;90,5;;12;Tolima;bh-PM;reddish_brown;57;9;5;2,56;ND;;
M40;PRO040B_PRO;181130;1;;90,5;;12;Tolima;bh-PM;reddish_brown;57;9;5;2,56;ND;;
M41;PRO041_C;190206;2;;90,5;C;12;Tolima;bh-PM;light_yellow;108;102;68;0,95;11;;
M41;PRO041A_PRO;181201;1;;90,5;;12;Tolima;bh-PM;light_yellow;108;102;68;0,95;11;;
M41;PRO041B_PRO;181201;1;;90,5;;12;Tolima;bh-PM;light_yellow;108;102;68;0,95;11;;
M42;PRO042A_C;190207;2;;50,8;C;12;Tolima;bh-PM;light_yellow;108;102;68;1,09;ND;;
M42;PRO042A_PRO;181201;1;;90,5;;12;Tolima;bh-PM;light_yellow;108;102;68;1,09;ND;;
M42;PRO042B_PRO;181201;1;;90,5;;12;Tolima;bh-PM;light_yellow;108;102;68;1,09;ND;;
M44;PRO044A_PRO;180921;2;;90,5;;12;Brasil;BRA;red;115;2;0;11,51;ND;;
M44;PRO044B_PRO;180921;1;;90,5;;12;Brasil;BRA;red;115;2;0;11,51;ND;;
M45;PRO045A_PRO;180921;1;;90,5;;12;San Andres;bs-T;red;115;2;0;6,96;ND;;
M45;PRO045B_PRO;180922;1;;90,5;;12;San Andres;bs-T;red;115;2;0;6,96;ND;;
M46;PRO046A_PRO;190118;2;B;64;;12;Santander;bh-PM;red;115;2;0;5,48;ND;;
M47;PRO047A_C;190206;2;;50,8;C;12;Santander;bh-PM;reddish_yellow;246;99;1;4,23;65;;
M48;PRO048B_PRO;190118;2;;64;;12;Casanare;bh-T;yellow;162;133;54;7,74;14;;
M49;PRO049A_PRO;181201;1;;90,5;;12;Bolivar;bs-T;reddish_yellow;246;99;1;ND;ND;;
M49;PRO049B_PRO;181201;1;;90,5;;12;Bolivar;bs-T;reddish_yellow;246;99;1;ND;ND;;
M50;PRO050A_PRO;181213;1;;90,5;;12;Bolivar;bs-T;light_yellow;108;102;68;ND;ND;;
M50;PRO050C_PRO;190118;2;;64;;12;Bolivar;bs-T;light_yellow;108;102;68;ND;ND;;
M50;PRO050D_PRO;190118;2;;64;;12;Bolivar;bs-T;light_yellow;108;102;68;ND;ND;;
M52;PRO052A_PRO;181201;1;B;90,5;;12;Meta;bh-T;reddish_brown;57;9;5;ND;ND;;
M52;PRO052B_PRO;181201;1;B;90,5;;12;Meta;bh-T;reddish_brown;57;9;5;ND;ND;;
M52;PRO052C_PRO;190111;2;;90,5;;12;Meta;bh-T;reddish_brown;57;9;5;ND;ND;;
M52;PRO052D_PRO;190111;2;;90,5;;12;Meta;bh-T;reddish_brown;57;9;5;ND;ND;;
M52;PRO052E_PRO;190112;2;;90,5;;12;Meta;bh-T;reddish_brown;57;9;5;ND;ND;;
M53;PRO053A_PRO;181201;1;;90,5;;12;ND;ND;yellow;162;133;54;ND;ND;;
M53;PRO053B_PRO;181201;1;;90,5;;12;ND;ND;yellow;162;133;54;ND;ND;;
M54;PRO054A_PRO;190112;2;B;90,5;;12;ND;ND;reddish_brown;57;9;5;ND;ND;;
M54;PRO054C_PRO;190118;2;;64;;12;ND;ND;reddish_brown;57;9;5;ND;ND;;
M54;PRO054D_PRO;190118;2;;64;;12;ND;ND;reddish_brown;57;9;5;ND;ND;;
M55;PRO055A_PRO;181212;1;;40,3;;12;ND;ND;reddish_brown;57;9;5;ND;ND;;
M55;PRO055B_PRO;190111;2;;90,5;;12;ND;ND;reddish_brown;57;9;5;ND;ND;;

